TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
06-06-2022,21.3,30.7,24.4,90,26,6.7,4,350,1,C 
07-06-2022,20.5,31.6,25.4,85,71.4,3.5,7,50,1,C 
08-06-2022,22.5,31.8,26.1,87,8888,6.3,4,50,1,C 
09-06-2022,22,30.6,24.2,92,0,5.6,5,270,1,C 
10-06-2022,20.6,33,26.1,84,130.4,3.6,5,270,1,C 
11-06-2022,22,30.8,25.5,89,24.3,9.3,3,90,1,C 
12-06-2022,21.8,31.7,25.6,87,7.5,4,7,260,1,C 
13-06-2022,22.5,31.6,25.7,88,5.2,6.5,8,170,1,C 
14-06-2022,-,31,25.8,87,7.5,4.4,5,180,1,C 
15-06-2022,22.3,30.2,25.2,90,8888,4,3,360,1,C 
16-06-2022,-,30.4,25,88,1.5,0.1,2,45,0,C 
17-06-2022,22.1,30,24.4,90,0,1.2,6,250,1,C 
18-06-2022,20,30.7,24.7,85,31.5,2,3,20,1,C 
19-06-2022,-,32.4,26,81,0.4,5,4,60,1,C 
20-06-2022,22.6,32.7,25.3,85,-,9.7,5,200,1,C 
21-06-2022,20.9,32.2,26,80,0.6,7.6,6,80,1,C 
22-06-2022,22.9,31.3,25.5,90,1.7,8.5,4,40,1,C 
23-06-2022,-,32.3,26.7,80,3,2,5,50,1,C 
24-06-2022,22.4,31.2,25.2,86,-,8.4,6,100,1,C 
25-06-2022,21,31.8,24.7,88,15.5,4.5,3,300,1,C 
26-06-2022,22,30.4,25,90,33.8,4.3,3,340,0,C 
27-06-2022,22.5,32.1,26.1,86,0.6,0.2,6,360,1,C 
28-06-2022,22.6,32.5,26.1,87,2.9,5,5,310,1,C 
29-06-2022,20.2,32.7,25.6,79,28.6,8.3,3,350,1,C 
30-06-2022,19.2,32.4,25.4,70,-,9.6,4,170,1,S 
01-07-2022,21.5,32,26,76,11,9.5,4,20,1,C 
02-07-2022,22.3,33.2,25.9,86,-,9.7,3,60,1,C 
03-07-2022,22,31.7,27.1,83,19.4,7.2,5,50,1,C 
04-07-2022,23.6,32,27.5,79,0.9,6.4,4,90,1,C 
05-07-2022,21.8,34,26.5,81,-,9.4,3,360,1,C 
06-07-2022,23,28.5,25.6,90,-,8.4,4,80,1,C 
07-07-2022,22.3,32.8,26.4,85,13,0.7,4,45,1,C 
08-07-2022,22.6,33.5,27.2,74,0.8,9.3,4,150,1,C 
09-07-2022,20.4,32,25.9,76,0,10.2,3,60,1,C 
10-07-2022,20.2,31.6,25.6,76,0,7.4,4,360,1,N 
11-07-2022,20.4,32.2,26.3,76,-,9.3,3,90,1,C 
12-07-2022,22.6,32.2,26.8,80,-,6,5,60,1,C 
13-07-2022,22,31,25.5,88,44.4,1.8,3,360,1,C 
14-07-2022,21.6,32.3,26.6,84,44.2,1.3,4,20,1,C 
15-07-2022,22.4,-,25.8,88,8888,7.3,4,170,1,C 
16-07-2022,21,28,23.2,92,155.2,5.7,6,170,1,C 
17-07-2022,21.5,29.8,26,85,7,0,5,40,1,C 
18-07-2022,21.8,32.1,26.3,86,-,2.6,2,330,1,C 
19-07-2022,22.2,33.5,26.6,84,8888,8.9,8,225,1,C 
20-07-2022,23,32.4,27.3,82,6.5,-,4,45,1,C 
21-07-2022,21.6,32.8,26.8,82,-,6.9,4,69,1,C 
22-07-2022,22,31.5,26.7,78,-,9.5,5,45,2,C 
23-07-2022,22,32.5,26.8,81,-,4.8,3,350,1,C 
